"País";"Consumo de electricidad per cápita (kWh por habitante)";"Año"
"Islandia";50,409;2020
"Noruega";22,351;2020
"Kuwait";19,3;2020
"Bahráin";17,349;2020
"Qatar";15,236;2020
"Finlandia";14,859;2020
"Canadá";13,854;2020
"Suecia";13,085;2020
"Estados Unidos";11,73;2020
"Emiratos Árabes Unidos";11,329;2019
"Luxemburgo";10,304;2020
"Taiwán";10,058;2020
"Liechtenstein";10,057;2020
"Islas Caimán";9,88;2020
"Corea del Sur";9,793;2020
"Nueva Caledonia";9,445;2020
"Australia";9,008;2020
"Arabia Saudí";8,668;2020
"Macao";8,263;2020
"Trinidad y Tobago";8,163;2020
"Groenlandia";8,123;2020
"Brunéi";8,119;2020
"Nueva Zelanda";8,02;2020
"Omán";7,957;2020
"Singapur";7,68;2020
"Japón";7,519;2020
"Austria";7,292;2020
"Estonia";7,158;2020
"Bélgica";7,01;2020
"Suiza";6,956;2020
"Alemania";6,693;2020
"Francia";6,644;2020
"Rusia";6,418;2020
"Eslovenia";6,373;2020
"Israel";6,34;2020
"Países Bajos";6,296;2020
"Puerto Rico";6,108;2020
"República Checa";5,825;2020
"Hong Kong";5,771;2020
"Dinamarca";5,626;2020
"Islas Malvinas";5,525;2016
"Grecia";5,363;2020
"Irlanda";4,961;2020
"Kazajistán";4,936;2020
"Bahamas";4,898;2020
"Eslovaquia";4,897;2020
"España";4,788;2020
"Italia";4,703;2020
"Reino Unido";4,702;2020
"Bulgaria";4,642;2020
"Malta";4,641;2020
"Montenegro";4,604;2020
"Portugal";4,556;2020
"Serbia";4,251;2020
"Malasia";4,193;2020
"Hungría";4,029;2020
"Chile";4,026;2020
"China";3,991;2020
"Libia";3,962;2020
"Polonia";3,903;2020
"Lituania";3,844;2020
"Croacia";3,768;2020
"Sudáfrica";3,668;2020
"Letonia";3,614;2020
"San Cristóbal y Nieves";3,593;2020
"Seychelles";3,391;2020
"Barbados";3,361;2020
"Bielorrusia";3,347;2020
"Uruguay";3,179;2020
"Antigua y Barbuda";3,135;2020
"Bosnia y Hercegovina";3,095;2020
"Ucrania";3,033;2020
"Macedonia";3,02;2020
"Líbano";2,872;2020
"Surinam";2,871;2020
"Turquía";2,818;2020
"Bután";2,792;2020
"Irán";2,783;2020
"Turkmenistán";2,729;2020
"Tailandia";2,721;2020
"Argentina";2,661;2020
"Andorra";2,588;2020
"Venezuela";2,512;2020
"Georgia";2,509;2020
"Brasil";2,405;2020
"Rumania";2,33;2020
"Nauru";2,281;2020
"Panamá";2,236;2020
"Santa Lucía";2,061;2020
"México";2,011;2020
"Azerbaiyán";1,983;2020
"Mauricio";1,976;2020
"Costa Rica";1,925;2020
"Mongolia";1,872;2020
"Kirguizistán";1,764;2020
"Armenia";1,751;2020
"Albania";1,662;2020
"Granada";1,637;2020
"Uzbekistán";1,605;2020
"Botsuana";1,569;2020
"Jordania";1,554;2020
"Egipto";1,534;2020
"Paraguay";1,516;2020
"República Dominicana";1,49;2020
"Namibia";1,479;2020
"Cuba";1,461;2020
"Tayikistán";1,461;2020
"Vietnam";1,451;2020
"San Vicente y las Granadinas";1,44;2020
"Perú";1,398;2020
"Dominica";1,395;2020
"Colombia";1,39;2020
"Ecuador";1,342;2020
"Moldavia";1,308;2020
"Túnez";1,303;2020
"Argelia";1,302;2020
"Suazilandia";1,296;2020
"Belice";1,134;2020
"Guyana";1,053;2020
"Jamaica";1,014;2020
"Iraq";989;2020
"Gabón";928;2020
"El Salvador";915;2020
"Fiyi";908;2020
"India";857;2020
"Indonesia";799;2020
"Marruecos";794;2020
"Honduras";782;2020
"Laos";735;2020
"Siria";730;2020
"Filipinas";717;2020
"Bolivia";669;2020
"Zambia";634;2020
"Cabo Verde";630;2020
"Samoa";603;2020
"Guatemala";589;2020
"Nicaragua";579;2020
"Guinea Ecuatorial";556;2020
"Sri Lanka";554;2020
"Corea del Norte";542;2020
"Zimbabue";489;2020
"Tonga";456;2020
"Papúa-Nueva Guinea";446;2020
"Lesoto";430;2020
"Yibuti";409;2020
"Pakistán";395;2020
"Mozambique";384;2020
"Camboya";346;2020
"Bangladesh";330;2020
"Ghana";319;2020
"Santo Tomé y Príncipe";291;2020
"Angola";278;2020
"Sudán";266;2020
"Mauritania";264;2020
"Birmania; Myanmar";264;2020
"Kiribati";241;2020
"Camerún";231;2020
"Senegal";222;2020
"Vanuatu";196;2020
"Congo";172;2020
"Nepal";164;2020
"Malí";153;2020
"Afganistán";151;2020
"Kenia";147;2020
"Togo";146;2020
"Islas Salomón";140;2020
"Gambia";130;2020
"Yemen";123;2020
"Nigeria";115;2020
"Tanzania";97;2020
"Benín";89;2020
"Etiopía";84;2020
"Burkina Faso";74;2020
"República Democrática del Congo";73;2020
"Uganda";72;2020
"Malaui";62;2020
"Madagascar";59;2020
"Eritrea";58;2020
"Liberia";55;2020
"Níger";47;2020
"Comoras";46;2020
"Guinea";44;2020
"Sierra Leona";42;2020
"Ruanda";41;2020
"Haití";37;2020
"Burundi";32;2020
"Somalia";27;2020
"República Centroafricana";27;2020
"Guinea-Bissau";19;2020
"Chad";12;2020
"Timor Oriental";0;2020
"Sáhara Occidental";0;2020
